INSERT INTO City (Name) 
VALUES
('Zagreb'),
('Split'),
('Rijeka'),
('Osijek'),
('Zadar'),
('Dubrovnik'),
('Pula'),
('Šibenik'),
('Varaždin'),
('Karlovac'),
('Berlin'),
('Munchen'),
('Hamburg'),
('Frankfurt'),
('Köln');

insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Riverside', 15, 6, '10:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Bistro', 12, 38, '11:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Oasis', 2, 9, '11:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Cloud', 14, 10, '11:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cantina Vista', 10, 13, '12:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Bistro', 14, 44, '11:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Lounge Meadow', 2, 12, '11:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Sierra', 13, 6, '12:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Orchard', 13, 31, '10:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('BBQ Bayou', 11, 21, '12:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Cedar', 4, 27, '11:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Taco Vino', 12, 32, '10:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Orchard', 1, 12, '10:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Springs', 10, 19, '12:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brasserie Alley', 3, 6, '11:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brasserie Sierra', 4, 12, '12:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Cielo', 6, 30, '12:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Lagoon', 1, 46, '12:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Milano', 11, 14, '12:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Fusion', 10, 38, '10:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Garden', 8, 43, '12:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Bay', 12, 23, '11:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Wood', 13, 29, '10:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Alley', 6, 32, '11:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Mountain', 4, 19, '10:00:00', '22:00:00', true);
