orderid,price,ordertype,note,guestid,date
1,579,onsite,jyola  ttah pa,147,2023-09-09
2,291,onsite,ettdo  cgce mh,179,2024-09-08
3,106,delivery,xoycp  djnt ko,394,2023-05-03
4,732,onsite,ykryv  jksa wx,283,2023-03-05
5,840,onsite,vkqaf  mbpp gx,120,2023-11-26
6,398,delivery,pqwoh  fhdb pk,435,2023-11-09
7,968,onsite,irgxo  wntq zz,403,2023-10-15
8,584,delivery,mkktb  fzli ki,327,2023-04-04
9,176,delivery,adjjd  ysnb pq,66,2024-11-20
10,552,delivery,bexwm  fftg zc,412,2023-01-01
11,743,onsite,uctpg  uwiy rc,381,2023-05-02
12,992,delivery,bihnv  qhjl we,445,2024-06-05
13,590,onsite,vmtct  fnjv gg,336,2023-09-24
14,135,delivery,jxpky  ejgu cy,408,2023-01-05
15,942,delivery,eemcp  izqe vz,29,2023-03-30
16,395,delivery,eyufn  gjgk uh,223,2023-12-31
17,752,delivery,xhkrm  phkp go,26,2023-01-19
18,930,delivery,mdvxz  ojft rg,343,2024-05-11
19,992,delivery,exadr  idlw mc,136,2023-10-07
20,284,delivery,zucem  vhjj sv,321,2024-02-10
21,215,delivery,idfnj  vygw wu,1,2023-04-17
22,640,onsite,cvhtg  tezs zu,80,2023-08-11
23,926,delivery,ehmzh  ahug ab,34,2024-04-18
24,189,onsite,zsuje  brxm nv,411,2024-11-20
25,683,delivery,bigds  fazm af,266,2023-01-23
26,706,onsite,ujywl  jwwn vo,189,2023-05-06
27,485,delivery,fkkef  gdqx qe,274,2023-10-30
28,725,delivery,rqpjt  xfqk im,9,2023-09-08
29,148,delivery,quqgd  qylj tu,209,2024-10-12
30,115,delivery,ijfoh  nlpf rz,276,2023-10-05
31,691,delivery,dtkrr  mkvd kr,426,2024-02-25
32,883,onsite,nqflf  mvbm gi,442,2024-06-07
33,299,delivery,ebjri  zrir xv,440,2024-01-26
34,610,delivery,cselh  jmmf uc,462,2023-01-20
35,625,delivery,vwwfa  xqld tz,374,2024-01-07
36,274,delivery,qnknt  tywc ro,460,2023-12-15
37,357,delivery,jnvbd  xsbu ce,247,2023-06-04
38,272,delivery,fzgcd  xdvb hi,333,2024-04-15
39,639,delivery,pbaux  fjxu du,226,2024-10-09
40,866,delivery,eyzxd  qjqe bc,445,2022-12-06
41,821,delivery,dvflk  vbgz oj,178,2023-06-05
42,587,delivery,dlnua  vavs pd,342,2024-09-12
43,186,onsite,cpnia  wejp zx,484,2023-04-15
44,230,delivery,yqdoa  jhto ok,199,2023-04-21
45,628,onsite,sytpj  avgx bc,39,2024-09-29
46,766,onsite,qppbu  zvao ve,186,2024-02-19
47,657,onsite,izkrz  rsxw ef,2,2023-10-30
48,571,onsite,rubax  lqtf vh,162,2024-03-28
49,309,onsite,stczo  iula zz,317,2024-02-05
50,908,delivery,yzrou  bsxi gw,18,2024-02-18
51,795,onsite,vkigz  lqwr pm,44,2023-10-30
52,590,onsite,otqua  inmu lm,294,2024-05-18
53,163,onsite,zmvtw  frxf ce,300,2024-08-27
54,797,onsite,wzjre  wqcv xz,7,2022-12-21
55,478,onsite,egytu  izau vt,130,2024-07-04
56,666,delivery,dzmar  fuxb kz,178,2024-09-11
57,812,onsite,vloxz  lfxp wb,449,2024-05-02
58,148,onsite,upzkb  ysou no,102,2024-02-16
59,749,onsite,vgbsz  axit qt,453,2024-10-17
60,888,delivery,ywnva  mprp tj,398,2024-02-23
61,838,onsite,bhlur  ibga sm,175,2024-03-28
