reviewid,gradedelivery,grademeal,usercomment,orderid
1,3,1,zpjh  edec qq,305
2,1,1,vyej  sxfu fe,525
3,3,3,ozhl  zhqc dx,167
4,4,2,oeml  xuya vc,188
5,2,3,kohk  sgyn qv,138
6,5,4,lnus  hqwt ed,2
7,1,5,uxag  ioqx fy,551
8,3,2,vsmb  ioqe oq,204
9,3,3,mwri  spce oi,416
10,2,4,pody  wmvk uo,441
11,3,4,ysbh  xqtw ki,368
12,4,2,mhqg  eltn nx,586
13,3,1,twpf  dvhb hl,637
14,2,2,tfrl  wmsi xz,142
15,2,5,nqgt  qeqo vj,339
16,4,3,slsl  lwkh fm,228
17,5,2,otnt  bcbp cu,156
18,3,4,gcqq  vuux at,592
19,5,4,lyyh  gdiu br,636
20,5,1,nicj  uaao po,366
21,3,5,kzwz  rhuc jn,402
22,3,4,khpm  ifsf nw,687
23,2,1,ynlp  jheo ml,515
24,2,1,dayo  vdbr jh,306
25,5,3,iknv  ehjo ac,584
26,1,2,jeok  mgql he,472
27,3,1,foaf  okiv mi,317
28,2,1,hnnm  cozr wh,175
29,4,5,cuxb  azpr ms,162
30,1,4,pcsq  xocv vp,160
31,3,5,rafg  aciz ox,604
32,1,5,koke  nfvz nu,290
33,5,2,qshy  zmuj bx,125
34,4,4,slhe  jwdh po,280
35,5,2,knni  vmzy el,199
36,3,1,vbzm  avhs bx,580
37,4,1,otzs  kfal ch,293
38,2,3,niir  sjmy vn,506
39,4,1,bfvo  zpmv iv,632
40,2,2,vzny  ghjj jd,220
41,5,5,nxqr  wduq jh,229
42,2,1,bhwe  ozyj na,559
43,4,4,lhcv  bkkc eb,644
44,1,4,xlua  wniw qa,626
45,2,5,nbdl  rhzd sc,94
46,5,5,ovbw  vwjv tt,639
47,2,1,gihh  ulex zi,696
48,5,5,hzwu  hkgp fc,535
49,1,1,nwki  ajtq js,194
50,3,2,gsww  tnwn zo,226
51,1,4,rwpz  rhji tj,130
52,4,1,jtex  svon va,18
53,1,1,gnrs  ptgw rn,57
54,2,4,jeds  tdmf gz,70
55,5,4,nnib  hgzi zd,9
56,2,4,ikcp  fjyw xd,352
57,2,2,uhld  aebc nf,46
58,5,2,cizs  chbs qi,207
59,3,5,wvdv  ognh wb,95
60,5,2,xade  jpfd my,280
61,4,3,zevr  tlbk qm,434
62,4,2,yypt  lqjy qv,547
63,1,3,dnlm  kvmb kn,432
64,4,1,hsqz  kdtc mt,238
65,1,5,nido  ahuv nn,139
66,2,5,caif  gvje oz,686
67,2,4,fcjr  dahu op,390
68,5,3,lvku  idab eb,541
69,5,2,zzwg  uckc ul,493
70,3,1,qdxw  lyxe yw,66
71,1,5,dfjq  sggz bh,596
72,3,2,orwi  nktz sl,40
73,1,4,xcgt  udvs fz,85
74,5,2,sbez  dyvm if,562
75,5,1,bmtu  zpst gq,420
76,3,1,icro  ssqv av,450
77,4,5,ckux  grho sh,68
78,4,3,dtok  tdua uc,697
79,3,5,lhro  vfhn vg,402
80,2,2,owvx  iflz ae,145
81,3,1,iyws  srbi js,643
82,1,4,yjkv  zydw bg,296
83,5,2,cejz  lfag ah,667
84,5,5,fbtj  dwsf fr,182
85,2,4,ruzp  ccml mf,352
86,1,1,lzyt  sokn iu,543
87,1,1,whjp  yley as,611
88,5,3,mddg  dmaw bh,78
